login,post,posts_time,posts_dt,ticker
Serg0787,$CHMF че она заперла…,18:49,2022-12-21,CHMF
uihgg,$CHMF стакан интересный,18:45,2022-12-21,CHMF
Fema,$CHMF дивидендов не будет,18:39,2022-12-21,CHMF
to_conquer,$CHMF стринги уже не так жмут?!))),18:39,2022-12-21,CHMF
Yurgud,$CHMF собрание сегодня?,18:24,2022-12-21,CHMF
PlusheviyInvestor,"$CHMF
Новые прогнозы появились по севрюшке",17:45,2022-12-21,CHMF
49_centov,$CHMF Дневной РТС красиво смотрится) Может мне кто-то объяснит Индекс  Мос.биржи две недели падает а акции Мос.биржи второй день как подорванные. По ходу с НГ нас ждут новые веселые тарифы!,17:44,2022-12-21,CHMF
Cat_Matroskin,"$CHMF ехай уже, сколько можно этот цирк изображать",17:12,2022-12-21,CHMF
Niko_Dim,"$CHMF будет здесь у грифов-шортунов праздник на этой неделе, как пологаете?",16:53,2022-12-21,CHMF
Devil050,"$CHMF давно пора⬇️, а то задержалась 😃",16:47,2022-12-21,CHMF
49_centov,$CHMF Такое ощущение что нам шпиль рисуют с утра первые 15 минут от сель до сель так сказать колышки выставляют чтоб мы в этой песочнице в пасочки играли.,16:28,2022-12-21,CHMF
uihgg,$CHMF пора уже шортить? Или ещё подождать?,15:47,2022-12-21,CHMF
maksimus35,$CHMF че это железяка стоит. Думают дивы будут? А нука за ммк пошла!,15:38,2022-12-21,CHMF
maksclerk,$CHMF ну куда ....,15:31,2022-12-21,CHMF
bessik66,$CHMF хорошие качали у вас тут)),15:31,2022-12-21,CHMF
alekseufa,$CHMF где у него остановка снизу?,15:28,2022-12-21,CHMF
Timon77,"$CHMF ну че ты начинаешь , нормально же общались ....",15:23,2022-12-21,CHMF
Invest_doxod,"Торговля прёт⚡️

$PLZL: ➕1,6%✅; $POLY: ➕0,9%✅
Про потенциал роста писали ещё ранее, теперь успешно спекулируем. Цели по Поли на 390 и Полюсу на 8100 сохранены. Потенциал роста вместе с растущим золотом очень велик. 

$NLMK: ➕0,3%✅; $CHMF, $MAGN: 
Металлургии сегодня решили дать паузу и немного корректируются. Поэтому с ними на сегодня дадим остановку, и сделки открывать не будем. Но набирать позицию хотим начать. 

$UWGN: ➕6%✅ 
Зашли почти на всё депо. Позицию перенесём на завтра с целью 100. Чтобы крупно зайти, пришлось закрыть сделки в $ORUP и $LSNG с минусом. Поэтому не переживайте, всё под контролем, просто видим в ОВК большую перспективу. 

$MOEX: ➕3,7%✅ 
Пробили сопротивление 100, из-за этого пошёл сильный рост. Ближайшие цели на 95 и 97. Если продолжим такое активное восстановление, то сможем и подойти вскоре к 100. 

$ROLO: ➕2,55%✅ 
Долго ждали очередного пампа и вот теперь попали под волну роста. Такие быстрые спекуляции очень любим, и в Русолово они заканчиваются успешно. 

не иир",14:42,2022-12-21,CHMF
PlusheviyInvestor,"$CHMF
Не товарищи 890 сегодня врядли увидим, хотя всё возможно, может и за тестят, но закрывать основную сессию будем ниже 880 и даже возможно пробъем 870

Не иир",14:09,2022-12-21,CHMF
neoufs,$CHMF давай ракету 890,14:05,2022-12-21,CHMF
INVESTOMATIKA,"📈 Во вторник акции Северстали $CHMF подорожали на 1,19%, до 885,8 руб. Объем торгов составил 941 млн руб. 

💼 Акции сталелитейщика продолжают дорожать день за днем, чему способствует ослабление рубля. Котировки вновь обновили многомесячные максимумы. Обороты остаются достаточно высокими.

💰 Технически отмечалось, что цели вверху смещаются к 900, но с учетом перекупленности предполагалось, что прежде может пройти откат. Однако котировки продолжили подъем, а рубль продолжил снижение.

💸 До пробоя 880 сегодня сохраняются шансы на рывок к 900, который в еще большей степени вероятности может быть финальным перед коррекцией, с учетом того, что здесь нависает 200-дневная скользящая средняя (EMA). 

📌 Уровни сопротивления: 892 / 900 / 910 
📌 Уровни поддержки: 880 / 870 / 859-860",14:02,2022-12-21,CHMF
