login,post,posts_time,posts_dt,ticker
kukusya,"$LKOH 
Забыли уже?
Грабеж года от Тинькофф инвестиции.
20 декабря, после див. отсечки Лукойла, как и положено, многие торговали этой бумагой на отскок. Казалось бы, что может произойти? Но не тут то было)
Тинькофф брокер в этот момент решил провести расчеты на внебиржевом рынке, вместо биржевого (в принципе он имеет на это право), НО:
Все кто лонговал эту бумагу 20-го числа и в этот же день продал, в последствии получили вычет дивидендов (как будто вставали в шорт до див отсечки), а те кто шортил и потом откупали шорт, получили дивиденды. (Были и ещё варианты).
Отличный подарочек на Новый год, не правда ли?)
Потом правда ошибочно начисленные дивиденды списали, но и здесь произошла хитрая ""тех ошибка"", так как списали уже в двойном размере))). 
Как итог, люди до сих пор с минусами, без денег и с ужасным настроением. 
Тинькоф даже не попытался, в официальной форме, успокоить всех пострадавших от подобного беспредела и уж тем более извиниться. 
Вывод один. Тинькофф банк это шарашка, в которой ваши деньги могут просто исчезнуть.
И эта ситуация до сих пор не решена.
P.S. При таких грабительских комиссиях и отвратительном отношении к клиентам вы до сих пор держите свои деньги здесь?",23:14,2023-01-06,LKOH
PSW,$LKOH ждём импульс вверх ?,22:53,2023-01-06,LKOH
FinCultura,"Обзор Российского рынка на следующую неделю. Уровни поддержки, цели.

По индексу MOEX прошла очередная скучная неделя в боковике. Может быть отскок, но если смотреть чуть наперед, то вероятна коррекция. По нефти ожидаю 70$, что предполагает снижение с текущих на 12%, для экспортеров это легкий негатив. 

Цели и поддержки:

$SBER основное сопротивление сейчас это 143-144 руб. Пока не пробьет его, никакого роста не будет! Буду ли я сам покупать Сбер? Вероятнее да, напишу об этом еще, подписывайтесь! Коррекцию жду до 137 руб.

$LKOH будет чувствителен к снижению цен на ресурсы, но 4000 должны удержать. Параллельно рубль слабеет, частично компенсирует потери. Жду закрытие ГЭП, если глобально, но через коррекцию к 4000, 3800 р.

$CHMF и $NLMK все цели выполнены! Ранее делал много обзоров металлургов, рассматривал только Лонг с целями по Северстали 900-1000 и НЛМК 120 (чуть не дотянули). Сейчас коррекция процентов на 10% возможно по обеим бумагам, далее боковик ожидаю, ничего сверхпозитивного пока здесь нет, из перепроданности вышли. Идею закрываю.

$GMKN выглядит лучше черной металлургии выше. Цель 16 тыс руб. Здесь ЕМА 200 на таймфрейме 1Д, можно будет защитить Лонги частичной фиксацией. Поддержки рядом - 15100 и 14100.

$NVTK все также в глобальном треугольнике. Торговать НОВАТЭКом сейчас предельно просто. Покупать на поддержке, продавать у сопротивления фигуры. Но сейчас уже мало места для маневра, лучше ждать выхода в одну из сторон. В среднесроке жду выше с целью 1200 руб.

$TCSG моя любимая компания на нашем рынке, каждый день пользуюсь их услугами). Лежит на поддержке 2520 руб. Плохо то, что исходя из коррекции по индексу, надо понимать, что и Тинькофф потащат за собой, а это пробитие поддержки и выход из фигуры вниз. Не хотелось бы! Поддержки 2400 и 2200 руб. следующие.

$IRAO очень классная компания по фундаменту и технике. Сам энергетиками не торгую, но здесь была перевернутая ГиП, цель 3,8р. Долгосрочно может пойти сильно выше. Если говорить про стопы, то ставил бы их у 2,95. Далековато. Была бы в портфеле - спокойно бы держал.

Прогнозы по всем тикерам в закрепленных изображениях к посту. НЕ ИИР",22:12,2023-01-06,LKOH
KVAZAR_77777,$LKOH отскок ?,21:41,2023-01-06,LKOH
KVAZAR_77777,$LKOH давай падай ниже докуплю 😎,21:24,2023-01-06,LKOH
Jack143,"$LKOH В общем, прогноз такой: закроемся сегодня 4100 +- 10😂",21:13,2023-01-06,LKOH
Kivvvi,"$LKOH вот я смотрю на  голосование и лишь 19 процентов за то, что упадет. А остальные рост. Хотелось бы спросить у остальных. С каких новостей он расти должен? 🧐",21:12,2023-01-06,LKOH
13rusl,"Мировые цены на нефть выросли на два процента


Мировые цены на нефть в пятницу вечером растут на 2% после публикации статистики по безработице в США, но могут показать падение примерно на 7% за неделю на фоне высокой заболеваемости коронавирусом в Китае, следует из данных торгов и комментариев эксперта.

По состоянию на 17.35 мск цена мартовских фьючерсов на нефть марки Brent растет на 1,83%, до 80,13 доллара за баррель, февральских фьючерсов на WTI — на 1,85%, до 75,03 доллара. Тем не менее, с понедельника обе марки подешевели приблизительно на 7%.

Ранее в пятницу министерство труда США опубликовало статистику по безработице в стране в декабре. Показатель неожиданно снизился — до 3,5% с уровня ноября в 3,7%. Аналитики, опрошенные порталом DailyFХ, ожидали сохранения показателя на ноябрьской отметке. Кроме того, число занятых в несельскохозяйственных отраслях экономики увеличилось на 223 тысячи, в то время как прогнозировался рост лишь на 200 тысяч.

Данные поддержали настроения инвесторов, которые по-прежнему оценивают перспективы дальнейшего смягчения монетарной политики Федеральной резервной системы США. Так, по данным CME Group, 67,1% экспертов ждут в феврале повышения ставки лишь на 0,25 процентного пункта, до 4,5-4,75% годовых. В прошлом году ФРС четыре раза подряд повысила ставку на 0,75 процентного пункта, а затем один раз — на 0,5 пункта.

Тем не менее, на рынки продолжают влиять негативные факторы со стороны спроса. В частности, в Китае после ослабления карантинных мер наблюдается рост заболеваемости ковидом, который подогревает опасения инвесторов по поводу замедления экономической активности. Опасения подтверждает экономическая статистика: так, индекс деловой активности (PMI) в непроизводственном секторе Китая в декабре упал до 41,6 пункта с 46,7 в ноябре. Значение PMI выше 50 пунктов говорит о росте активности, ниже — о ее спаде. В условиях замедления экономики спрос на нефть, как правило, снижается.

""Падение цен было вызвано опасениями по поводу спроса на фоне последней волны заболеваеомсти коронавирусом в Китае, начавшейся после резкого снятия коронавирусных ограничений"", — приводит портал MarketWatch слова аналитика Commerzbank Барбары Ламбрехт (Barbara Lambrecht).

$ROSN $SIBN $RNFT $SNGS $TRNFP $LKOH

❌Не ИИР
•В рамках стратегии &Абсолютная величина я переодически делаю ребалансировку портфеля, где мы удерживаем позиции от недели до месяца, иногда и более. Добро пожаловать! 

#прояви_себя_в_пульсе
#псвп",20:13,2023-01-06,LKOH
DiBiTe,$LKOH 5000 по 4098,18:45,2023-01-06,LKOH
JuliyaBog88,"$LKOH может на следующей неделе будет позитивнее, м?",18:41,2023-01-06,LKOH
GoodMoneyWork,"Доброго времени суток!

🌲Вот и подходит к концу первая торговая неделя Нового Года!

🛢Большинство из нас ожидало быстрого восстановления Лукойла $LKOH после выплаты замечательных дивидендов, но этого не произошло, как и Роснефть с Газпром Нефтью - крупные киты мирового нефтяного рынка ⛽️ ""дивидендная заправка"" ушла на 2 и 3 эшелон.

📈Какие акции только не поддавались пампингу, начиная от банкрота $ORUP и заканчивая $CHMK с $MSTT - рост акций достигал от 30% И вроде на этом все, но нет, памп пошел дальше и начал перемещаться от одной бумаги к другой, от Красного Октября к ОВК, Соллерс, Ашинский метзавод, Телеграф итд

🤔Но вот вопрос: а какие акции попадут под следующий памп и успеем ли мы вовремя их купить?

✅️Я выбрал $LIFE и $PRFN

🚀Большой упор на Фармсинтез, у него больше перспектив на быстрый рост!

😉Закупил сегодня уже около 280000 акций, на дивиденды Лукойла.

Напишите в комментариях, а какую акцию будут пампить следующую на ваш взгляд?

Спасибо, что дочитали до конца!

Не ИИР!

Буду рад новым подписчикам, вашим лайкам и комментариям.

#инвестиции #деньги #нефть",18:36,2023-01-06,LKOH
