login,post,posts_time,posts_dt,ticker
BAchu,"$ROSN

Спасибо за подарок за первое место в РИЧ в своей группе. ☺️",23:44,2023-01-01,ROSN
Maksim_gg,"🔔 Приветствую всех пульсян 👋

🔺 29 декабря индекс Мосбиржи вернулся к росту после падения накануне. Лидеры роста среди голубых фишек Новатэк $NVTK  (+1,24%) и Роснефть $ROSN  (+1,27%). 

🍅 По прогнозу министра финансов, инфляция в России в 2022 году составит примерно 12%. Это нижняя планка прогноза Минэкономразвития (12-12,4%). Есть вероятность, что у Банка России будет больше возможностей смягчить политику ради стимулирования экономики.

♨️ Цены на газ в Европе в начале января, скорее всего, не вырастут и останутся возле отметки в $900 за тысячу кубометров. Всё потому, что тёплая погода в регионе, вероятно, сохранится и в начале будущего года. Это может повлиять на доходы газового сектора.

🚀 Распродажи акций в США сменились резким ростом рынка, в основном благодаря бигтехам. Возможно, инвесторы решили воспользоваться недавней просадкой и выкупить подешевевшие акции. Кроме того, количество заявок на пособия по безработице за прошлую неделю полностью совпало с прогнозами аналитиков, и это тоже не дало рынку повода начать снижение.
 
🔔 Кому жалко лайка, ставьте ракету 🚀
🎁 Буду рад если подпишитесь 🙏",23:14,2023-01-01,ROSN
MaRSon63,"И так 2023ий!!! Счастья! Здоровья вам и вашим близким!! Любви обоюдной!!!!

К чему я тут подошёл за год тусовки в Пульсе?! А Именно 125к₽ вливаний, много ли, мало судить вам... но мне понравилось.
Мне понравилось переживать за ДИВы того же $GAZP с лета, брать бумаги тупо $AFLT ... от $TATNP и $ROSN стабильно получать😳
А вот про $MAGN забыл, они медленно,  но уверенно... 29.2 средняя...
Я х3 ребята, но мне тут нравиться и я тут остаюсь...

И все равно учусь на ваших постах... 
Ps: ваши мысли, буду только им рад в комментах!!!",19:49,2023-01-01,ROSN
Yuri194059,"$ROSN Под дивы пойдет, думаю до 380-390 еще подымется до отсечки",19:09,2023-01-01,ROSN
ddddbbbb,$ROSN Объсните пожалуйста как работают дивиденды. Я могу продать акции в день выплаты? А потом получить дивиденды или как это работает,16:54,2023-01-01,ROSN
PKNCash,"🎄Всем добрый день! 

Сегодня, завтра отдых и с 3 января начинаю снова публиковать новости и делиться идеями по акциям 🔥

❗️Также в профиле появилась моя личная стратегия &X10 от PKN 

Данная стратегия имеет минимальный вход в 6.000₽ и обещает около 30% годовых без каких-либо рисков, однако прибыль может быть больше/меньше. В стратегию будут входить только российские акции, которые упали почти в два раза за 2022 год. К таким акциям относятся: $MOEX $SBER $GAZP $AFLT $MVID $ROSN и другие 🚀😱
Среднее время удержания актива около месяца, все зависит от динамики рынка 

Ставьте плюс в комментарии, если есть желание подписаться на стратегию, а также пишите какие бумаги на ваш взгляд вырасту за 2023 год❗️

Не является ИИР 
——————————————————
Хочешь быть в курсе актуальных новостей, а также получать прогнозы с высоким профитом❓
Тогда подписывайся на Пульс и не забудь поставить реакцию на пост, а также делись своими успехами в комментариях ✅

#обзор #пульс #новости #инвестиции #прояви_себя_в_пульсе #учу_в_пульсе",13:36,2023-01-01,ROSN
reekor,$ROSN когда торги нормальные начнутся ?,13:19,2023-01-01,ROSN
HNS1992,$ROSN 375 будет сегодня?,11:59,2023-01-01,ROSN
Tatyana__777,"🌈🌞🎄🤗 С Новым годом, друзья!
Пусть он будет добрым и полным любви, счастья, здоровья и благополучия для каждой семьи!

$PLZL $NVTK $ROSN",11:58,2023-01-01,ROSN
Valeriy100,"🔔 Приветствую всех пульсян 👋

🔺 29 декабря индекс Мосбиржи вернулся к росту после падения накануне. Лидеры роста среди голубых фишек Новатэк $NVTK  (+1,24%) и Роснефть $ROSN  (+1,27%). 

🍅 По прогнозу министра финансов, инфляция в России в 2022 году составит примерно 12%. Это нижняя планка прогноза Минэкономразвития (12-12,4%). Есть вероятность, что у Банка России будет больше возможностей смягчить политику ради стимулирования экономики.

♨️ Цены на газ в Европе в начале января, скорее всего, не вырастут и останутся возле отметки в $900 за тысячу кубометров. Всё потому, что тёплая погода в регионе, вероятно, сохранится и в начале будущего года. Это может повлиять на доходы газового сектора.

🚀 Распродажи акций в США сменились резким ростом рынка, в основном благодаря бигтехам. Возможно, инвесторы решили воспользоваться недавней просадкой и выкупить подешевевшие акции. Кроме того, количество заявок на пособия по безработице за прошлую неделю полностью совпало с прогнозами аналитиков, и это тоже не дало рынку повода начать снижение.
 
🔔 Кому жалко лайка, ставьте ракету 🚀
🎁 Буду рад если подпишитесь 🙏

🛎️ А по этой ссылке можешь отрыть - ИИС, заказать кредитку или симкарту, сделать вклад от 6 месяцев, заходи и выбери сам что тебе нужно , так мы вместе получим бонус 🎁 -
 https://www.tinkoff.ru/sl/7PjoNG5IfER
#учу_в_пульсе #учусь_в_пульсе #пульс #новичкам #прояви_себя_в_пульсе #пульс_оцени",10:41,2023-01-01,ROSN
