login,post,posts_time,posts_dt,ticker
Vadim_Grigorev,"🥇К четвергу-пятнице подготовлю пост про золото... А пока к вам вопрос: что вы можете сказать глядя на график золота с 1834 года? Не бойтесь писать то, что видите. Вопрос без подвоха. Мне просто интересно, что видят на этом графике другие.
$GLDRUB_TOM $PLZL $POLY $TGLD 

Модеры Пульса! 🙏🏻 Очень прошу не баньте за возможный спам тикерами. Вопрос очень интересный и в полной мере касается всех этих активов. Где ж мне еще найти любителей золота?!)

И вы тоже не ругайтесь и не жалуйтесь)) Лучше лайк поставьте мне 🫶🏻",22:37,2023-01-10,POLY
Evgen99999,"$POLY Только увидел прогноз от Альфы, обнадёживает)))!!!",22:24,2023-01-10,POLY
Invest_doxod,"🤑 Итоги дня: 

🔸 Сегодняшний торговый день прошёл как и все последние предыдущие. Основной рынок стоял, 3-й эшелон летал. Акции $LIFE  сегодня обогнали $SBER  по объему торгов😳❗️ Хотя если честно, оно уже не удивительно. Всех задолбала скукота на индексе Мосбиржы, вот и никто там не торгует. Мы, как и обещали, активно сегодня участвовали в пампах и ловили волны роста, про это отдельный пост, ведь слишком много информации) 
 Внизу мнение о рынке, ведь толком про 1-й эшелон нечего писать. 

 $POLY: ➕8,15%✅, $PLZL: ➕0,5%✅
 Полиметалл зафиксировали спустя месяц, позиция полностью закрыта. Уж очень не нравится то, что стоит на месте и деньги таким образом заморожены как будто. Полюс тоже самое, только с ним внутридневные сделки проводим. Обе акции не пройдут свои сопротивления уже месяц🙄 - 385 и 8000. 

$ROSN: ➕5,65%✅, $LKOH: ➕0,4%
Роснефть убрали из портфеля перед дивидендным гэпом. Завтра наверно постараемся поймать момент просадки для выкупа, но могут и сразу на 2% обратно вернуть. Лукойл движется в свободном плавании. Ни поддержку, ни сопротивление пробить нет сил. Объёмы крохотные, чему удивляться. Такая спячка видимо до конца января обеспечена. 

$RUAL: ➕0,75%✅, $MAGN: ➕0,6%, $CHMF: ➕1%✅ 
 Даже металлурги не двигаются. Северсталь и Ммк шортили, потом вставали в лонг, всё на копеечные суммы. Доллар заглох, заглохли и мы. Русал так и будет колебаться в коридоре 40-41 ещё долго, нужны сильные драйверы для какого-то движения. Коррекция может начаться в любой момент. 

$AFLT: ➕0,7%✅, $MGNT: ➕0,2%✅ 
 Пытались тут ловить скачки. Необоснованный рост идёт тех бумаг, которые ранее падали в любой непонятной ситуации. Выглядят лучше рынка, поэтому шортить опасно. Бумаги перекуплены, коррекция скоро будет, 

Одним словом - тишина. 

⚡️ За сегодня ➕6% к депо сделали. Самое интересное было в 3-м эшелоне😋

☑️ ПОДПИШИСЬ, ПОЛЕЗНАЯ ИНФОРМАЦИЯ ДЛЯ ТЕБЯ ☑️ 

не иир",22:03,2023-01-10,POLY
m.dark,"$POLY, а что мертво так?",21:53,2023-01-10,POLY
SergeyFedotov,$POLY надо 350 ребят,21:43,2023-01-10,POLY
Berkut41,$POLY такими темпами к марту на 400 выйдем,21:43,2023-01-10,POLY
Berkut41,$POLY почему нет функции скрыть акцию? Очень нужная вещь. Спрятал и глаза не мозолят.,21:23,2023-01-10,POLY
cano,"$POLY 
Началось, а что?
500 в Кубе?",20:59,2023-01-10,POLY
Berkut41,$POLY как же уже достала эта бумажка. 2 месяца  на одном месте 370-380,20:52,2023-01-10,POLY
Artem86region,$POLY а через два часа случайно не ракета??? Похоже завтра с треугольника выходим,20:17,2023-01-10,POLY
DayTradingLive,"$POLY 🔥 Итог по интрадей рекомендации по Полиметаллу +0,85%",20:05,2023-01-10,POLY
KawaBaggio,"📖 Заметки на полях. Часть 2

❓Покупать ли растущую акцию на хаях 
Выбрали актив, но ждем лучшую цену
Акция падает, куплю и все пойдет в рост❓

Продолжаем разбор методики оценки отобранных активов. В Части 1 разобрали, что после того, как компания каким-либо образом попадает в поле интереса, первое, что рекомендуется - рассмотреть её фундаментальные характеристики. Уровень допуска варьируется от события, которое обратило внимание на эту компанию. И я спекулирую только в тех компаниях, которые готов брать инвестиционно на несколько лет, об этом тоже был большой пост, как это делать правильно, дабы потом не хвастать печально лосями и прочей живностью

*в качестве примера из последних сделок #OZON - на Канале, спайка базового ТА и фундаментальных ожиданий операционного отчета

Следующим шагом будет оценка технического положения цены для поиска точек входа

Самыми простыми техническими индикаторами, которые удобно отслеживать без дополнительных расчетов и они одинаковы для всех пользователей - а это немаловажный факт, так как ТА хоть и един в своих постулатах, но для каждого он разный - являются скользящая средняя за 200 сессий SMA200 и индекс относительной силы RSI

*для меня логика технического анализа заключается в следующем - представьте, что цена акции пересекает скользящую среднюю на недельном, дневном и 4часовом таймфреймах. То есть в одной точке происходит сигнал, который видят огромное количество людей, верящих в пользу этого инструмента и трактующих его как старт для сделок. Они объединяются по велению этого сигнала и двигают цену. Поэтому для меня в ТА, применимо к инвестициям, важна простота сигнала, что влечет за собой его массовое влияние

✳️SMA200 это определение направления тренда и уровень поддержки/сопротивления
+
✴️RSI оценка перекупленности (зона выше 70) или перепроданности (зона ниже 30) актива

*подробно и в деталях как применять и где смотреть - посты сгруппированы и опубликованы на Канале

Разберу на примерах

$FESH после пробития скользящей SMA200 в августе и до момента попадания в зону перекупленности по RSI дал рост 35%, в сентябре было повторение, только скользящая выступила в качестве поддержки, и +40%, сейчас - третий отскок, повторит?

$VKCO в конце сентября в одной точке сошлись SMA200 в качестве сопротивления и перекупленность по RSI на уровне 78, после этого цена рухнула на 40%

$NVTK пытается закрепиться выше SMA200, цепляется, борется, если получится - ближайшие цели 1150 и 1200

✳️Уровни поддержки/сопротивления
+
✴️Линии тренда

Здесь использую самые понятные уровни - годовые экстремумы и очевидные минимумы/максимумы для подбора точек, не рисую миллион линий по той же логике, что объяснял выше. При нахождении цены вблизи определенного мной уровня обязательно обращу внимание на объемы торгов и стакан, чтобы подтвердить своё мнение

$SBER и девятимесячная область распродаж 142-145, рывок выше ознаменует ралли, больше чем уверен, с минимальными целями 160, тем более, что ""умные деньги"" закупать начали, единственную компанию МосБиржи, остальных только сливают, пост об этом - на Канале

$POLY встали под потолком 387,копим силы, при походе выше все внимание на объемы проторговки - от них понимание далеко ли поедет

$PLZL и ценовой уровень 8000, аналогичная ситуация, как у Поли, один в один

Есть еще инструменты вроде уровней Фибоначчи или паттернов японских свечей. О них тоже огромное количество постов со всеми деталями и областями применения на Канале

⏏️Заходи в профиль и подписывайся, чтобы получать актуальную информацию
#псвп",19:52,2023-01-10,POLY
5Partizan5,$POLY до скольки торгуется?,18:40,2023-01-10,POLY
D_I_M_O_N_102,$POLY как там ваши стринги поживают???,18:25,2023-01-10,POLY
Rambo217,"$POLY  +40 проц,куда будет движение дальше,кто че думает?",18:09,2023-01-10,POLY
D_I_M_O_N_102,$POLY золото полетело вверх ..,18:05,2023-01-10,POLY
Investor_samou4ka,"$POLY судя по импульсу золота, кому-то не понравилась речь Павлика.",17:52,2023-01-10,POLY
Evgen99999,$POLY Вроде движение пошло!!!),17:36,2023-01-10,POLY
MasterDav,$POLY,17:25,2023-01-10,POLY
13rusl,"Как проходят торги? 


$PLZL $POLY 
Акции золотодобытчиков торгуются без единой динамики, но вблизи вчерашних отметок. Перешли к снижению акции золотодобытчиков. Цены на золото торгуются чуть выше нижней границы широкого диапазона сопротивления в $1870–1915. Дальнейшая динамика котировок на драгметалл будет зависеть от итогов выступления главы ФРС Джерома Пауэлла и инфляционных данных по США. Подробнее о перспективах золота на 2023 г. читайте в отдельном материале.

$ROSN 
Около 0,7% теряют акции Роснефти. Сегодня последний день для попадания в отсечку для получения дивидендов от компании за 9 месяцев 2022 г. в размере 20,39 руб. на акцию. Доходность 5,5%.

$TATN 
Акции Татнефти снижаются на 0,3%. Бумаги в понедельник очистились от дивидендов. Просадка оказалась ожидаемо меньше размера дивдоходности (2%). В краткосрочной перспективе взгляд по акциям Татнефти нейтральный.

$ENRU 
Бумаги ЭЛ5-Энерго после падения накануне на 4,8% сегодня теряют еще 1,8%. Поводом для распродаж стали новости о том, что ЛУКОЙЛ выставил оферту акционерам ЭЛ5-Энерго по 0,48 руб. — ниже текущих рыночных котировок на 12%. Максимальное количество приобретаемых акций — 15,4 млрд штук или 43,6% от уставного капитала компании.

$LKOH 
Акции ЛУКОЙЛа снижаются на 0,6%. Для нефтяной компании новость об оферте и увеличении доли в ЭЛ5-Энерго в целом позитивная, так как за невысокую цену приобретен интересный актив. Но в масштабе всей компании это все-таки незначительная величина и влияние на акции нейтральное. Капитализация всей ЭЛ5-Энерго сегодня составляет 19 млрд руб. — и это всего 0,7% от капитализации ЛУКОЙЛа.

$USDRUB $EURRUB 
На валютном рынке Московской биржи рубль укрепляется к доллару и незначительно теряет к евро. Пара USD/RUB снижается на 0,5% и торгуется на уровне 69,6 руб. Пара EUR/RUB подросла на 0,2% и курсирует на отметке 74,6 руб.

$GS 
Goldman Sachs больше не ожидает рецессии в еврозоне в 2023 году. Банк изменил свой прогноз: вместо падения ВВП на 0,1% он теперь ждет роста на 0,6%. Goldman Sachs отметил, что экономика еврозоны в прошлом году оказалась более устойчивой, чем ожидалось, цены на газ резко снизились, а Китай к тому же отменил антиковидные ограничения

❌Не ИИР

👉В рамках стратегии &Абсолютная величина 
Переодически делаю ребалансировку портфеля, где мы удерживаем позиции от недели до месяца, в редких случаях и более. 
Вход в стратегию всегда актуален.
Добро пожаловать!

👉В рамках стратегии &Грош цена. На пенсию внукам 
Мы удерживаем позиции более длительный период времени. Подходит для консервативных инвесторов. 
Добро пожаловать! 

👉 &Потенциальный отскок новая стратегия, закуп будет осуществлён 12.01.2023. Самая интересная стратегия, ""ловля падающих ножей"", сопровождается риском, возможны как повышенные потери, так и повышенная доходность. Рискнем? 

#прояви_себя_в_пульсе
#псвп",17:22,2023-01-10,POLY
Grizzly700,$POLY #Пауэлл сегодня в своем выступлении не комментирует монетарную политику ФРС,17:12,2023-01-10,POLY
Berkut41,"$POLY что Пауэлл сказал, кто в курсе?",17:12,2023-01-10,POLY
Rainbow_Dash,"$POLY когда положительно влияющие события не очень сильно влияют на эмитент... 2 варианта: 
•все действиельно плохо
•сосредоточение в ожидании ключевого события с последующим взлетом",16:32,2023-01-10,POLY
Ha_KoJleHu_OJleHu,$POLY посмотрите-ка инвест прогноз как альфа-банк увеличил по акции😂 тем более не продам! А то пригубим мне водит пятый раз уже с моей средней 380.8 что бы слил котлетку свою ууууу🤣 вот оказывается кто вам сопротивление поставил это Я🤣,16:10,2023-01-10,POLY
XoM9l40k,$POLY долго ещё на месте теребонькать будет?,16:09,2023-01-10,POLY
AlinaDobraya,"😇

➕ $RTKM Ростелеком получит 11 млрд рублей по госконтракту с Минцифры РФ

🔘 Теперь инвесторы, которые пользуются маржинальной торговлей, могут брать плечи побольше - $TCSG Тинькофф

🔘 Россия будет выдавать «золотые визы» иностранцам за инвестиции в экономику

➖ Эстония готовит к концу января план конфискации российских активов — BBG

➕ $PFE Pfizer работает над запуском поставок своей антиковидной таблетки Paxlovid  в Китай

➕ НРД получит инструкции по разблокировке замороженных активов от Euroclear лишь после получения разрешений от Бельгии

➕ $POLY Polymetal планирует начать поиски меди в Туве, где ожидается выявление крупного месторождения

#новости #акции #аналитика #россия #анализ #сша",16:02,2023-01-10,POLY
Sahek80,$POLY и так теребонькали они 3 дня и три ночи пока теребонька не сломалась,14:54,2023-01-10,POLY
