login,post,posts_time,posts_dt,ticker
Sust250,"$SBER ртс уже на 1% упал , а чего Сбербанк. Не падет ?",19:35,2023-01-05,SBER
Tarong,$SBER виражи прям огромные ашь в целый рубль 😂🤣,19:35,2023-01-05,SBER
KPInvestment,"У сбера кстати отчёт будет в течение 10 дней, в 2022 был 14 января в 10 утра. В ноябре и декабре под это разгоняли.
$SBER $SBERP
Поэтому повод для лонга есть и без перемирия, вопрос только, будет ли рынок сам по себе нормальным в течение этих 10 дней.",19:34,2023-01-05,SBER
impressedit,"Где ликвидность в опционах, ее вообще нет?
Было бы здорово опробовать механику хотя бы с покупкой контракта в $GAZP или $SBER ( $SBERP ).

Думаю, неплохо захеджить риск покупкой пута, но стакан пуст даже не на половину : (",19:27,2023-01-05,SBER
anna4003,"«Город засыпает - просыпается мафия»: ПИФ, БПИФ и ETF
Одним словом это фонды. 
Фонды - это готовые наборы ценных бумаг. Уже готовый диверсифицированный портфель 
Фонды - это инструмент долгосрочного инвестирования. 
Подходит, если надо накопить на обучение ребёнка, покупка недвижимости или финансовую подушку к пенсии. 
Куда они инвестируют? 
Фонды могут инвестировать в разные активы, например российские или американские акции, облигации, золото. 
Какие фонды бывают?
1) ПИФ- можно купить напрямую через управляющую компанию
2) БПИФ- можно купить или продать на бирже 
3) ETF-этот фонд зарегистрирован в другом стране
БПИФ- это почти аналог ETF, только зарегистрирован на территории России. Разница между ETF  небольшая, только в расположение и  законодательстве. 
На чем можно заработать? 
Увы, фонд не платить дивиденды и купоны. Но, можно заработать , если актив вырос. 
Сколько стоит фонд? 
По разному стоит, в зависимости от решения компании. 
✅Преимущества фондов:
1) диверсификация - если 1 компания обанкротится, то существенно ни как не повлияет на портфель) 
2)надежность - показывает историю роста фонда
3) ЛДВ- за удержание фонда более 3 лет инвестор не платит налог на прибыль с продажи 
4) низкий порог
5) открытность- инвестор полностью знает состав фонда
❌Недостатки:
Если владеете меньше 3 лет и решили продать, то придётся заплатить налог 13% ( если вы налоговый резидент России), или 30% если нерезидент. 
$TMOS - БПИФ от Тинькофф капитал "" Тинькофф Индекс МосБиржи "" инвестирует в российские компании напрямую без использования  ETF. Целевым индексом является индекс ММВБ. В состав которого входят более 40 крупнейший российских компаний. 
Таких как:
Сбербанк $SBER
Газпром $GAZP
Роснефть $ROSN
Лукойл $LKOH
Норильский никель $GMKN
Яндекс  $YNDX и др..
Вкладывая в БПИФ $TMOS, вы инвестируете в широкий спектр акций российских компаний из различных секторов экономики. Получаемые по акциям дивиденды фонд реинвестирует, то есть направляет на покупку дополнительного числа акций.
Таким образом, фонды - инструмент, который поможет снизить риски для начинающего инвестора.",19:16,2023-01-05,SBER
50RubInDay,"Почему я так мало инвестирую?

 ⭐Спрашивали тут, спрашивали в телеграмме, на Ютубе, что интересно, не спрашивали (мой единственный подписчик итак все понимает и вопросов не задаёт 🙃).


Тут основные моменты, озвученные в видео. Собственно, отвечаю:
   1️⃣Недавно сменил работу + живу в, скажем так, в очень небогатом регионе нашей страны, поэтому инвестировать особо нечего.

   2️⃣Конечно, можно инвестировать больше и во всем себя ограничивать - не покупать ничего нового, питаться непонятно чем, сидеть дома и никуда не ходить, но зачем такая жизнь? Будет у вас неплохой капитал лет в 60, а что вспомните? Как по маршруту дом-работа-дом ходили и все? Оно вам надо? 

   3️⃣Акции все же не манна небесная, случится может всякое. Из недавнего СВО. Рассмотрим на примере $SBER  (Сбербанка). 24 февраля упали в моменте почти в 3 раза. В 3 раза, понимаете? Фото внизу поста.
  🏠В то же время квартиры 24 февраля в 3 раза по площади не уменьшились, ноутбуки и шкафы тоже. Это я к чему - не забывайте (и не забивайте) на окружающую вас обстановку, иногда лучше купить куртку или  наклеить обои, чем вложить лишние деньги в акции. Обои может и в цене не растут, но свои годы на стене точно проведут. Ну и диверсифицируйте конечно, куда без этого...?

   💵Вообще, все мы большие молодцы потому что инвестируете, этим занимаются примерно 1% граждан РФ, куда мы все с вами входим, с чем я вас и поздравляю.
Предлагаю за это выпить, лично я уже🥂

   👠А, и ещё обращение к мужской части Пульса - лучше вложить деньги в фондовый рынок, чем в очередную б... девушку с пониженной социальной ответственностью, это я вам на личном опыте говорю, успехов в жизни и на рынке 💸",18:29,2023-01-05,SBER
mr.sokhryakov,"$SBER сейчас рынок разгонят хорошенько, повыше физиков загонят)
И можно  2 волну))
И опять разуются об ""как же так, так неожиданно, говорили же что не будет(((""
Жду удаления поста через 3.. 2.. 1",18:28,2023-01-05,SBER
asiaanna,$SBER нифига себе как быстро отыграли новость😅,18:26,2023-01-05,SBER
Dengy_ne_problema,"Спасибо вам! 
По дивидендому портфелю на 10 лет) 
Надо именно от логики и здравого смысла отталкиваться. Больше шансов выжить у гос бизнеса, который очень крупный и платит дивиденды сейчас. 
Если в таком ключе рассуждать, то $SBER из за своей экосистемы способен выжить и платить дивиденды 
$ROSN так как нефти еще на 10 лет хватит точно. То думаю будет платить дивиденды 
$CHMF эффективная компания в долгосрок, возможно через лет 5 ситуация наладится, поэтому тоже на 10 лет есть шансы 
$GMKN как мы уже поняли основной владелец имеет безграничные ресурсы, поэтому у этой компании также есть большие шансы платить дивиденды. Да и металлы редкие 
Ну и просто индекс мосбиржи
$MTLRP в целом я смотрю позитивно при низкой цене, меня смущает, что в прошлый раз кинули с дивидендами, поэтому думаю, что без дивидендов тут ловить нечего, усреднять лучше тогда, когда либо очень дешево, либо очевиден позитив. 
$YNDX очень низкие обьемы просто так гуляет туда сюда, чтобы создать видимость и запутать трейдеров. И ходит за индексом. Пока выводы вообще рано делать, ни туда ни сюда. 
$CBOM здесь шортистов вынесли мне кажется + наверное есть позитивный инсайд, так как и правда динамика очень сильная. Но я бы уже не брал,
Рискованно",18:25,2023-01-05,SBER
kirillkorona,"$SBER

Ростем на перемирии от ВВ на сутки
Скоро победим",18:19,2023-01-05,SBER
